Entity,Year,Other Renewables,Hydroelectric,Oil,Gas,Coal
China,2021,0.0,1300.0,62.1,287.1,5328.83
China,2022,0.0,1303.13,72.37,290.58,5397.8
India,1985,0.0,51.813046,11.868,2.158,116.039
India,1986,0.0,52.568764,11.504,3.682,129.902
India,1987,0.0,48.962532,12.351,4.235,152.8
India,1988,0.0,54.614944,12.333,3.604,164.676
India,1989,0.0,63.369778,12.805,7.275,184.975
India,1990,0.0,66.397064,13.312,9.958,191.633
India,1991,0.0,73.918884,13.444,13.355,214.118
India,1992,0.0,70.060745,14.811,16.258,229.412
India,1993,0.0,70.7325,14.208,17.878,252.784
India,1994,0.0,80.21211,15.747,21.882,264.609
India,1995,0.0,75.920876,16.826,29.434,296.292
India,1996,0.0,69.05754,19.848,32.024,312.234
India,1997,0.0,70.211006,20.889,40.179,325.827
India,1998,0.0,83.63273,21.038,50.175,336.484
India,1999,0.0,82.24945,24.802,59.009,365.436
India,2000,0.0,76.99,29.16,55.96,390.23
India,2001,0.0,72.02,26.79,55.93,408.29
India,2002,0.0,68.54,27.93,62.88,426.7
India,2003,0.0,69.3,31.09,72.8,441.47
India,2004,0.0,100.64,28.27,76.58,463.01
India,2005,0.0,97.42,25.37,75.47,478.48
India,2006,0.0,112.62,19.08,74.7,505.46
India,2007,0.0,122.61,13.36,90.05,533.27
India,2008,0.0,115.17,15.27,85.88,573.12
India,2009,0.0,106.34,13.08,104.37,611.11
India,2010,0.0,108.74,10.78,118.03,642.97
India,2011,0.0,131.7,9.35,117.56,701.25
India,2012,0.0,115.78,10.07,96.25,787.13
India,2013,0.0,131.98,10.65,66.31,847.97
India,2014,0.0,139.0,11.55,64.01,949.93
India,2015,0.0,133.28,9.26,64.77,1006.55
India,2016,0.0,128.38,9.41,72.62,1073.6
India,2017,0.0,135.82,8.79,74.99,1115.24
India,2018,0.0,139.75,6.4,71.26,1198.86
India,2019,0.0,162.07,3.07,71.95,1198.76
India,2020,0.0,163.7,3.09,74.79,1143.78
India,2021,0.0,160.33,3.38,59.84,1274.13
India,2022,0.0,174.92,3.78,47.04,1380.1
Japan,1985,0.0,82.874,183.86023,128.04317,99.33413
Japan,1986,0.0,80.816,180.84311,130.83553,98.77428
Japan,1987,0.0,74.787,191.79303,135.03831,107.33319
Japan,1988,0.0,90.291,213.04886,141.93289,112.19776
Japan,1989,0.0,91.741,231.79631,149.58807,116.86643
Japan,1990,0.0,86.895,287.53784,172.93031,119.28444
Japan,1991,0.0,94.416,275.44656,184.34412,125.57195
Japan,1992,0.0,80.046,282.14148,184.15916,131.97461
Japan,1993,0.0,92.58,238.79599,182.32396,140.2303
Japan,1994,0.0,64.462,281.11688,199.1195,156.84714
Japan,1995,0.0,78.793,248.6747,201.16463,168.6008
Japan,1996,0.0,77.173,237.25818,212.91621,178.44434
Japan,1997,0.0,86.44,208.94281,219.67732,188.13504
Japan,1998,0.0,89.079,192.40436,230.09956,192.23228
Japan,1999,0.0,83.792,193.23811,244.68681,211.61293
Japan,2000,0.0,84.47,182.78,258.5,238.24
Japan,2001,0.0,81.54,153.86,256.52,253.91
Japan,2002,0.0,80.6,172.99,252.76,264.43
Japan,2003,0.0,92.47,185.22,273.1,292.06
Japan,2004,0.0,91.67,169.64,257.86,295.39
Japan,2005,0.0,77.56,184.95,253.09,319.2
Japan,2006,0.0,88.81,154.21,280.04,311.34
Japan,2007,0.0,74.51,185.18,296.85,317.31
Japan,2008,0.0,75.16,171.45,324.83,333.7
Japan,2009,0.0,70.47,105.29,324.72,312.08
Japan,2010,0.0,88.5,102.5,326.09,316.85
Japan,2011,0.0,82.49,162.87,379.83,285.07
Japan,2012,0.0,77.1,207.77,435.49,334.3
Japan,2013,0.0,79.33,166.48,423.58,362.55
Japan,2014,0.0,81.71,122.34,450.88,355.6
Japan,2015,0.0,85.77,104.44,417.5,349.64
Japan,2016,0.0,79.43,98.57,421.84,345.24
Japan,2017,0.0,79.29,74.45,428.92,342.88
Japan,2018,0.0,81.11,53.78,425.37,345.13
Japan,2019,0.0,73.64,41.31,400.33,338.2
Japan,2020,0.0,77.41,35.51,392.5,330.78
Japan,2021,0.0,79.58,38.14,365.76,338.6
Japan,2022,0.0,74.88,45.83,360.54,348.48
United Kingdom,1985,0.0,3.9542,48.307,2.896,177.163
United Kingdom,1986,0.0,4.7683,31.235,1.743,201.361
United Kingdom,1987,0.0,4.1868,26.268,4.532,209.924
United Kingdom,1988,0.0,4.8846,28.393,4.778,203.374
United Kingdom,1989,0.0,4.7683,29.442,4.949,199.938
United Kingdom,1990,0.0,5.21,36.53,5.0,204.66
United Kingdom,1991,0.0,4.62,30.13,5.82,209.53
United Kingdom,1992,0.0,5.43,30.93,12.58,192.62
United Kingdom,1993,0.0,4.3,22.78,34.04,169.78
United Kingdom,1994,0.0,5.09,16.5,53.26,160.03
United Kingdom,1995,0.0,4.84,19.07,63.74,153.84
United Kingdom,1996,0.0,3.39,19.66,84.09,145.22
United Kingdom,1997,0.0,4.17,13.41,110.96,119.72
United Kingdom,1998,0.0,5.12,12.17,117.8,122.97
United Kingdom,1999,0.0,5.34,11.42,142.9,106.18
United Kingdom,2000,0.0,5.09,14.06,148.08,119.95
United Kingdom,2001,0.0,4.05,11.77,141.91,131.46
United Kingdom,2002,0.0,4.79,11.71,152.28,124.28
United Kingdom,2003,0.0,3.23,11.49,148.88,138.46
United Kingdom,2004,0.0,4.84,10.93,157.06,131.79
United Kingdom,2005,0.0,4.92,12.52,152.64,134.64
United Kingdom,2006,0.0,4.59,14.04,140.83,148.85
United Kingdom,2007,0.0,5.08,12.37,165.79,135.94
United Kingdom,2008,0.0,5.14,13.93,176.22,124.38
United Kingdom,2009,0.0,5.23,12.88,166.5,103.04
United Kingdom,2010,0.0,3.59,10.5,175.65,107.59
United Kingdom,2011,0.0,5.69,8.85,146.5,108.44
United Kingdom,2012,0.0,5.31,9.26,100.17,142.79
United Kingdom,2013,0.0,4.7,8.36,95.84,130.26
United Kingdom,2014,0.0,5.89,8.69,100.89,100.24
United Kingdom,2015,0.0,6.3,9.41,99.88,75.88
United Kingdom,2016,0.0,5.37,10.64,143.13,30.67
United Kingdom,2017,0.0,5.88,9.71,136.75,22.53
United Kingdom,2018,0.01,5.44,9.34,131.49,16.83
United Kingdom,2019,0.01,5.93,9.2,131.99,6.92
United Kingdom,2020,0.0,6.86,10.33,111.42,5.49
United Kingdom,2021,0.0,5.5,10.89,123.17,6.51
United Kingdom,2022,0.0,5.32,12.55,125.3,5.57
